.40,0.91,-0.10,73,255,255,229,253,1022,0,1,1,1
0.28,0.96,0.06,70,255,255,229,253,1022,0,1,1,1
0.29,0.91,-0.02,70,255,255,228,253,1023,0,1,1,1
0.31,0.97,-0.02,73,255,255,229,251,1020,0,1,1,1
0.32,0.95,-0.04,73,255,255,229,251,1021,0,1,1,1
0.32,0.98,-0.06,75,255,255,229,253,1023,0,1,1,1
0.36,0.92,-0.06,66,255,255,229,253,1022,0,1,1,1
0.34,0.95,-0.07,75,255,255,226,251,1023,0,1,1,1
0.35,0.94,-0.06,75,255,255,229,250,1020,0,1,1,1
0.36,0.94,-0.06,82,255,255,229,250,1023,0,1,1,1
0.34,0.94,-0.09,66,255,255,231,246,1023,0,1,1,1
0.35,0.93,-0.07,80,255,255,225,246,1023,0,1,1,1
0.34,0.92,-0.09,77,255,255,229,243,1023,0,1,1,1
0.35,0.94,-0.07,75,255,255,228,246,1023,0,1,1,1
0.34,0.95,-0.05,73,255,255,229,245,1023,0,1,1,1
0.34,0.93,-0.06,80,255,255,228,243,1023,0,1,1,1
0.32,0.94,-0.06,77,255,255,229,245,1023,0,1,1,1
0.32,0.94,-0.05,75,255,255,229,246,1023,0,1,1,1
0.33,0.92,-0.05,77,255,255,229,246,1023,0,1,1,1
0.31,0.96,-0.06,77,255,255,231,243,1023,0,1,1,1
0.34,0.92,-0.05,82,255,255,231,246,1023,0,1,1,1
0.32,0.93,-0.08,77,255,255,232,245,1023,0,1,1,1
0.34,0.95,-0.06,77,255,255,231,248,1023,0,1,1,1
0.33,0.93,-0.05,77,255,255,232,243,1023,0,1,1,1
0.34,0.92,-0.01,75,255,255,231,246,1020,0,1,1,1
0.38,0.91,-0.04,75,255,255,232,246,1023,0,1,1,1
0.34,0.92,-0.06,77,255,255,229,246,1020,0,1,1,1
0.32,0.95,-0.09,77,255,255,231,241,1023,0,1,1,1
0.37,0.94,-0.07,73,255,255,231,248,1020,0,1,1,1
0.35,0.93,-0.09,77,255,255,229,246,1023,0,1,1,1
0.33,0.95,-0.02,77,255,255,228,245,1022,0,1,1,1
0.36,0.93,-0.07,77,255,255,226,245,1022,0,1,1,1
0.33,0.98,-0.09,75,255,255,228,246,1022,0,1,1,1
0.35,0.94,-0.04,77,255,255,225,246,1023,0,1,1,1
0.32,0.94,-0.07,77,255,255,228,245,1020,0,1,1,1
0.32,0.95,-0.03,77,255,255,229,243,1023,0,1,1,1
0.31,0.95,-0.05,75,255,255,228,246,1022,0,1,1,1
0.33,0.96,-0.05,77,255,255,228,246,1023,0,1,1,1
0.30,0.96,-0.01,77,255,255,228,245,1022,0,1,1,1
0.31,0.96,-0.04,80,255,255,228,245,1022,0,1,1,1
0.29,0.93,-0.06,80,255,255,229,245,1023,0,1,1,1
0.33,0.95,-0.03,77,255,255,235,245,1023,0,0,1,1
0.28,0.96,-0.01,80,255,255,232,243,1022,0,1,1,1
0.32,0.94,-0.03,80,255,255,234,245,1021,0,1,1,1
0.30,0.92,-0.07,80,255,255,234,246,1023,0,1,1,1
0.27,0.94,-0.02,70,255,255,235,246,1023,0,1,1,1
0.28,0.98,0.03,82,255,255,234,246,1022,0,1,1,1
0.30,0.93,-0.02,80,255,255,234,248,1021,0,1,1,1
0.27,0.95,-0.04,82,255,255,234,246,1023,0,1,1,1
0.26,0.96,-0.04,73,255,255,235,245,1023,0,1,1,1
0.30,0.95,-0.01,82,255,255,231,246,1023,0,1,1,1
0.30,0.95,-0.00,82,255,255,235,246,1023,0,1,1,1
0.31,0.92,0.02,80,255,255,234,246,1023,0,1,1,1
0.32,0.97,-0.05,80,255,255,234,248,1023,0,1,1,1
0.29,0.98,-0.01,84,255,255,234,246,1023,0,1,1,1
0.34,0.93,-0.07,84,255,255,232,250,1022,0,1,1,1
0.33,0.95,-0.02,80,255,255,234,248,1023,0,1,1,1
0.35,0.94,-0.03,82,255,255,231,250,1023,0,1,1,1
0.33,0.95,-0.06,82,255,255,231,245,1023,0,1,1,1
0.32,0.95,-0.04,87,255,255,231,253,1020,0,1,1,1
0.36,0.94,-0.04,80,255,255,232,250,1023,0,1,1,1
0.35,0.93,-0.06,82,255,255,235,250,1023,0,1,1,1
0.34,0.94,-0.04,80,255,255,237,245,1023,0,1,1,1
0.32,0.93,-0.04,108,255,255,235,250,1020,0,1,1,1
0.35,0.94,-0.06,63,255,255,237,250,1023,0,1,1,1
0.35,0.94,-0.06,84,255,255,234,243,1023,0,1,1,1
0.33,0.95,-0.05,87,255,255,235,241,1023,0,1,1,1
0.35,0.94,-0.06,96,255,255,234,245,1021,0,1,1,1
0.33,0.93,-0.04,89,255,255,235,243,1023,0,1,1,1
0.35,0.93,-0.05,84,255,255,234,246,1023,0,1,1,1
0.32,0.95,-0.04,87,255,255,228,241,1023,0,1,1,1
0.34,0.94,-0.01,98,255,255,228,246,1020,0,1,1,1
0.35,0.94,-0.03,101,255,255,226,241,1023,0,1,1,1
0.34,0.94,-0.04,108,255,255,226,245,1023,0,1,1,1
0.34,0.92,-0.04,68,255,255,229,237,1023,0,1,1,1
0.33,0.95,-0.04,77,255,255,229,243,1023,0,1,1,1
0.34,0.92,-0.04,108,255,255,229,240,1022,0,1,1,1
0.31,0.92,0.01,103,255,255,229,241,1023,0,1,1,1
0.29,0.89,0.01,119,255,255,222,237,1022,0,1,1,1
0.18,0.98,-0.02,77,255,255,229,240,1023,0,1,1,1
0.18,1.04,0.11,101,255,255,226,241,1023,0,1,1,1
0.25,0.96,0.10,98,255,255,228,245,1023,0,1,1,1
0.25,0.90,0.04,94,255,255,228,238,1023,0,1,1,1
0.23,1.01,0.04,94,255,255,228,241,1020,0,1,1,1
0.21,1.00,0.06,80,255,255,228,243,1023,0,1,1,1
0.22,0.98,0.02,63,255,255,228,241,1023,0,1,1,1
0.35,0.95,-0.10,66,255,255,228,243,1021,0,1,1,1
0.37,1.01,0.10,82,255,255,225,241,1023,0,1,1,1
0.22,0.95,0.04,84,255,255,222,240,1021,0,1,1,1
0.22,0.97,0.04,89,255,255,228,243,1022,0,1,1,1
0.29,0.98,0.19,75,255,255,229,241,1023,0,1,1,1
0.20,0.96,0.01,87,255,255,226,240,1023,0,1,1,1
0.21,0.97,0.01,84,255,255,228,240,1023,0,1,1,1
0.23,0.96,0.01,87,255,255,229,240,1023,0,1,1,1
0.24,0.97,0.00,84,255,255,226,240,1023,0,1,1,1
0.23,0.95,-0.02,82,255,255,226,238,1020,0,1,1,1
0.15,1.00,0.04,80,255,255,226,240,1023,0,1,1,1
0.22,0.96,0.00,96,255,255,225,237,1022,0,1,1,1
0.20,0.96,-0.03,94,255,255,226,238,1023,0,1,1,1
0.19,1.00,0.01,68,255,255,228,240,1023,0,1,1,1
